Total,Keyword
7187,"Missing Alt-Text"
1956,"Lack of Screen Reader Support"
1766,"Lack of Proper Navigation"
1747,"Missing label"
1179,"Lack of Proper Keyboard Support"
834,"Redundant Links"
801,"Broken Links"
631,"Inaccessible Element"
559,"Duplicate Titles"
539,"Undefined Page Language"
467,"Element without Title"
423,"Unclear UI element"
382,"Incorrect Reading Sequence"
362,"Mislabeled Buttons"
348,"Missing Keyboard Focus Indicator"
343,"Lack of Descriptive Heading"
291,"Lack of Descriptive Titles"
288,"Missing Mechanism to Bypass Content"
287,"Element contains duplicate IDs"
227,"Inaccessible Checkout System"
198,"Lack of Headings"
196,"Empty or Broken Element"
189,"Mislabeled element"
189,"Markup Errors"
157,"Empty or Missing Form Labels"
144,"Empty Links"
142,"Empty Buttons"
141,"Loss of information"
91,"Other image issue"
63,"Unclear link purpose"
63,"Issue with radio buttons"
52,"Fails to distinguish pages"
47,"Missing Element"
46,"Unreadable element"
46,"Mislabeled image"
28,"Lack of access to visually impaired people"
27,"Lack of description"
19,"Lack of closed captioning"
16,"Element required finger for use"
15,"Lack of Image Mapping"
15,"Other keyboard issue"
14,"Low Contrast"
14,"Other navigating issue"
13,"Only use color to convey information"
6,"Inaccessible forms"
4,"Other language issue"
3,"Other description issue"
1,"Element not resizable"
